elapsed_s,phase,readings_total
0,baseline,0
2,baseline,50
4,baseline,150
6,baseline,250
8,baseline,350
10,baseline,500
12,baseline,600
14,baseline,700
15,burst,700
16,burst,2703
17,burst,4703
18,burst,7203
19,burst,9703
20,burst,11203
21,burst,13203
22,burst,15703
23,burst,18203
24,burst,20203
25,recovery,23203
27,recovery,27203
29,recovery,32203
31,recovery,34758
33,recovery,34758
35,recovery,34758
37,recovery,34758
39,recovery,34758
41,recovery,34758
43,recovery,34758
45,recovery,34758
47,recovery,34758
49,recovery,34758
51,recovery,34758
53,recovery,34758
