elapsed_s,phase,readings_total
0,baseline,0
2,baseline,1
4,baseline,150
6,baseline,251
8,baseline,350
10,baseline,450
12,baseline,598
14,baseline,700
15,burst,700
16,burst,2701
17,burst,5701
18,burst,8701
19,burst,11701
20,burst,15201
21,burst,17701
22,burst,19701
23,burst,22201
24,burst,23701
25,recovery,34701
27,recovery,41201
29,recovery,47201
31,recovery,49915
33,recovery,49915
35,recovery,49915
37,recovery,49915
39,recovery,49915
41,recovery,49915
43,recovery,49915
45,recovery,49915
47,recovery,49915
49,recovery,49915
51,recovery,49915
53,recovery,49915
