elapsed_s,phase,readings_total
0,baseline,0
2,baseline,50
4,baseline,150
6,baseline,250
8,baseline,350
10,baseline,500
12,baseline,600
14,baseline,700
15,burst,700
16,burst,2701
17,burst,5201
18,burst,7201
19,burst,10201
20,burst,13201
21,burst,15701
22,burst,18201
23,burst,20201
24,burst,23201
25,recovery,26201
27,recovery,31701
29,recovery,37201
31,recovery,42201
33,recovery,48201
35,recovery,50200
37,recovery,50200
39,recovery,50200
41,recovery,50200
43,recovery,50200
45,recovery,50200
47,recovery,50200
49,recovery,50200
51,recovery,50200
53,recovery,50200
